"commoditycode","parent","description"
"01","I","LIVE ANIMALS"
"02","I","MEAT AND EDIBLE MEAT OFFAL"
"03","I","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
"04","I","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"05","I","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"06","II","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
"07","II","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
"08","II","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS"
"09","II","COFFEE, TEA, MATÃ‰ AND SPICES"
"10","II","CEREALS"
"11","II","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
"12","II","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER"
"13","II","LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS"
"14","II","VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED"
"15","III","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES"
"16","IV","PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
"17","IV","SUGARS AND SUGAR CONFECTIONERY"
"18","IV","COCOA AND COCOA PREPARATIONS"
"19","IV","PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
"20","IV","PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
"21","IV","MISCELLANEOUS EDIBLE PREPARATIONS"
"22","IV","BEVERAGES, SPIRITS AND VINEGAR"
"23","IV","RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
